mpn,manufacturer,references,specification,quantity_per_board,fitted_per_board,dnp_references,purchase_quantity,optional_full_population_quantity,observed_stock,moq,lifecycle,source_url,china_order_url,checked_on,source_freshness,status,datasheet_url,source_access_method,spec_review_status,application_check
MFU1206FF03150P100,Vishay,F101,"3.15A, 63V, very-fast fuse, 1206; typical cold R37mOhm; P1=1000/reel packaging",1,1,,6,0,1000,1,Active / listed for sale,https://www.digikey.com/en/products/detail/vishay/MFU1206FF03150P100/1206513,https://www.digikey.cn/zh/products/detail/vishay/MFU1206FF03150P100/1206513,2026-09-17,4 months ago,PUBLIC_STOCK_SNAPSHOT,https://www.vishay.com/docs/28747/mfuserie.pdf,web_reader_page,NOMINAL_RATINGS_REVIEWED,Input backup fuse. Check inrush and temperature derating. A 3 A supply does not establish clearing of a 3.15 A fuse.
TPS259470LRPWR,Texas Instruments,U101,"2.7-23V eFuse, latch-off L variant, adjustable current limit; RPW 10-pin 2x2mm",1,1,,6,0,543,1,Active / listed for sale,https://www.digikey.com/en/products/detail/texas-instruments/TPS259470LRPWR/14124014,https://www.digikey.cn/zh/products/detail/texas-instruments/TPS259470LRPWR/14124014,2026-09-17,yesterday,PUBLIC_STOCK_SNAPSHOT,https://www.ti.com/lit/ds/symlink/tps25947.pdf,web_reader_page,NOMINAL_RATINGS_REVIEWED,R105 sets a nominal 2.69 A current limit. OVLO is approximately 14.4 V. U509 monitors post-eFuse VIN12 without clearing RUN_LATCH. Intrinsic UVLO/OVLO can recover if control power and the latch survive; FLT events still clear the latch. Connect ILM only to local R105; keep parasitic capacitance below 50 pF. Verify inrush and rapid interruption.
WSL2512R0100FEA,Vishay,R301,"10mOhm +/-1%, 1W at70C, +/-75ppm/C, 2512; two terminals, PCB Kelvin sensing",1,1,,10,0,120777,1,Active / listed for sale,https://www.digikey.com/en/products/detail/vishay-dale/WSL2512R0100FEA/712561,https://www.digikey.cn/zh/products/detail/vishay-dale/WSL2512R0100FEA/712561,2026-09-17,today,PUBLIC_STOCK_SNAPSHOT,https://www.vishay.com/docs/30100/wsl.pdf,web_reader_page,NOMINAL_RATINGS_REVIEWED,I/O current shunt; nominal dissipation is 10 mW at 1 A. Use independent Kelvin traces from the two-terminal pads and calibrate temperature dependence.
GRM32EC81E226KE15L,Murata,C104 C205 C206 C207 C208,22uF +/-10% 25V X6S 1210; DC-bias/effective capacitance to be qualified,5,5,,30,0,11490,1,Active / listed for sale,https://www.digikey.com/en/products/detail/murata-electronics/GRM32EC81E226KE15L/2039089,https://www.digikey.cn/zh/products/detail/murata-electronics/GRM32EC81E226KE15L/2039089,2026-09-17,last week,PUBLIC_STOCK_SNAPSHOT,https://www.farnell.com/datasheets/2048738.pdf,search_index_snapshot,NOMINAL_RATINGS_REVIEWED,"VIN12 decoupling. Evaluate effective capacitance at operating bias, ripple current, and input-network resonance."
TPS54302DDCR,Texas Instruments,U102,"4.5-28V input, adjustable synchronous buck, 3A IC rating, 400kHz, DDC SOT23-6",1,1,,6,0,13871,1,Active / listed for sale,https://www.digikey.com/en/products/detail/texas-instruments/TPS54302DDCR/6572466,https://www.digikey.cn/zh/products/detail/texas-instruments/TPS54302DDCR/6572466,2026-09-17,yesterday,PUBLIC_STOCK_SNAPSHOT,https://www.ti.com/lit/ds/symlink/tps54302.pdf,web_reader_page,NOMINAL_RATINGS_REVIEWED,AUX regulator with a nominal 4.96 V output. EN is left floating as permitted by the datasheet. Verify the fitted input/output network on the board.
TPS546B24ARVFR,Texas Instruments,U201,"2.95-18V input, 20A IC rating, PMBus; 0.25-3V across selected loop scales; RVF40 plus EP",1,1,,6,0,1394,1,Active / listed for sale,https://www.digikey.com/en/products/detail/texas-instruments/TPS546B24ARVFR/13280055,https://www.digikey.cn/zh/products/detail/texas-instruments/TPS546B24ARVFR/13280055,2026-09-17,last week,PUBLIC_STOCK_SNAPSHOT,https://www.ti.com/lit/ds/symlink/tps546b24a.pdf,web_reader_page,NOMINAL_RATINGS_REVIEWED,Core regulator for the 0.30-1.20 V fixture range. The board continuous-current design target is 10 A. Program and read back compensation and protection for the fitted 12+12 or 16+16 capacitor population before enabling.
WSL25121L000FEA,Vishay,R201,"1mOhm +/-1%, 1W at70C, +/-275ppm/C, 2512; two terminals, PCB Kelvin sensing",1,1,,10,0,9930,1,Active / listed for sale,https://www.digikey.com/en/products/detail/vishay-dale/WSL25121L000FEA/712551,https://www.digikey.cn/zh/products/detail/vishay-dale/WSL25121L000FEA/712551,2026-09-17,last week,PUBLIC_STOCK_SNAPSHOT,https://www.vishay.com/docs/30100/wsl.pdf,web_reader_page,NOMINAL_RATINGS_REVIEWED,Core current shunt before the feedback endpoint. Nominal drop and dissipation at 10 A are 10 mV and 0.10 W. Calibrate resistance and temperature dependence.
TPS62131RGTR,Texas Instruments,U301,"FIXED1.8V synchronous buck, 3-17V input, 3A IC rating; RGT16 plus EP; NOT TPS62133",1,1,,6,0,2077,1,Active / listed for sale,https://www.digikey.com/en/products/detail/texas-instruments/TPS62131RGTR/2833430,https://www.digikey.cn/zh/products/detail/texas-instruments/TPS62131RGTR/2833430,2026-09-17,last week,PUBLIC_STOCK_SNAPSHOT,https://www.ti.com/lit/ds/symlink/tps62130.pdf,web_reader_page,NOMINAL_RATINGS_REVIEWED,Fixed 1.8 V I/O regulator with a 1 A provisioned load budget. Do not substitute the 5 V TPS62133. U508 generates IO_VALID. EN is supplied from local VIN12 through the Q301/Q302 interface; verify VIN-relative pin limits during startup and rapid power loss.
SRP5030T-2R2M,Bourns,L301,"2.2uH +/-20%, DCR35mOhm max, Irms5.5A, Isat9A at20% L drop, 5x5x3mm",1,1,,6,0,7244,1,Active / listed for sale,https://www.mouser.com/en/ProductDetail/Bourns/SRP5030T-2R2M?qs=Zq5ylnUbLm6RM9tJHvHtzA%3D%3D,https://www.mouser.cn/ProductDetail/Bourns/SRP5030T-2R2M?qs=Zq5ylnUbLm6RM9tJHvHtzA%3D%3D,2026-09-17,6 days ago,PUBLIC_STOCK_SNAPSHOT,https://www.bourns.com/docs/Product-Datasheets/SRP5030T.pdf,web_reader_page,NOMINAL_RATINGS_REVIEWED,"2.2 uH I/O inductor. Verify ripple, peak current, inductance under bias, and temperature rise at the actual operating point."
SC0915,Raspberry Pi,U401,"Original Raspberry Pi Pico RP2040, bare headers; VSYS1.8-5.5V, GPIO3.3V; 40-pin 2.54mm",1,1,,6,0,42985,1,Active / listed for sale,https://www.digikey.com/en/products/detail/raspberry-pi/SC0915/13624793,https://www.digikey.cn/zh/products/detail/raspberry-pi/SC0915/13624793,2026-09-17,today,PUBLIC_STOCK_SNAPSHOT,https://datasheets.raspberrypi.com/pico/pico-datasheet.pdf,web_reader_page,NOMINAL_RATINGS_REVIEWED,Pico is a command-only USB interface. Only GP0/GP1 connect through ISO1640 side2; other GPIO/ADC pins are NC. Its3V3 only powers isolator side2 and local pullups. Board LDO U901 and U903 hold power/reset state; boot/rejoin/idle/USB errors must not mutate that state. Explicit commands only.
